Judul,Klasifikasi,Jenis,Subject,Abstrak,KataKunci,Penulis1,Penulis2,Penerbit,Tahun
,,,,,,,,,
<h1>Implementasi Desain UI UX untuk Meningkatkan Kepuasan Pengguna pada Aplikasi Mobile dan Website PT. Bisa Artifisial Indonesia - Dalam bentuk buku karya ilmiah <br/><small>PAWESTRI SHOFIA NARISWARI</small> </h1>,006.7 - Web Design,Karya Ilmiah - Skripsi (S1) - Reference,Ui/ux,,"<p>Desain antarmuka dan pengalaman pengguna memegang peranan yang sangat penting dalam proses pengembangan produk digital, seperti aplikasi mobile dan website. Hal ini disebabkan oleh fakta bahwa desain antarmuka membantu pengguna melalui elemen visual perangkat dalam menyelesaikan tugas mereka, sementara Desain pengalaman pengguna melibatkan proses membangun koneksi erat antara pengguna dan produk, terutama dalam konteks bagaimana pengguna berinteraksi dengan produk dan memanfaatkan fitur-fitur yang telah disediakan. Dua aspek ini memiliki hubungan yang erat satu sama lain, yang bertujuan untuk menciptakan tingkat kepuasan yang maksimal bagi pengguna saat mereka berinteraksi dengan produk digital tertentu. Oleh karena itu diperlukan penerapan aspek Desain Antarmuka dan Pengalaman Pengguna pada Aplikasi Mobile Kiosk dan Website Fab Creation, tools yang digunakan dalam proses desain ini adalah Figma dengan metode pengerjaan User Centered Design yang meliputi Context Analysis, Defining Requirements,Design, Evaluation. Setelah itu, rancangan prototype yang telah dibuat diuji kepada pengguna menggunakan pengujian System Usability Scale. Diharapkan hasil dari desain antarmuka dan pengalaman pengguna ini akan menghasilkan produk Aplikasi Mobile dan Website yang nantinya akan menjadi solusi bagi permasalahan pengguna dan menciptakan kepuasan pengguna saat menggunakan produk. Kata Kunci: Desain Antarmuka, Desain Pengalam Pengguna, Aplikasi Mobile, Website</p>",PAWESTRI SHOFIA NARISWARI,"Entik Insanudin, Agus Pratondo","Universitas Telkom, D4 Teknologi Rekayasa Multimedia",2023
<h1>Pemanfaatan Media Sosial Instagram Sebagai Informasi Pada PT Krakatau Jasa Industri - Dalam bentuk buku karya ilmiah <br/><small>ADITYA GIRI FAHREZI</small> </h1>,005.437 - Graphical user interfaces,Karya Ilmiah - Skripsi (S1) - Reference,Graphic Design,,"<p>Media sosial sudah banyak digunakan oleh perusahaan untuk memperkenalkan kegiatan dan menginformasikan seputar bisnis yang ditawarkannya. PT Krakatau Jasa Industri merupakan salah satu perusahaan di kota Cilegon yang telah aktif menggunakan media sosial Instagram sebagai media informasi kepada pengikutnya. Oleh karena itu, dalam akun Instagramnya diperlukan pemanfaatan media sosial Instagram untuk membuat konten secara rapi dan konsisten agar mampu menarik perhatian dan memberikan informasi yang jelas dan mudah dipahami oleh pengikutnya. Pada proyek akhir ini menjelaskan mengenai proses pembuatan konten sebagai media informasi pada Instagram PT Krakatau Jasa Industri, dengan memanfaatkan fitur Instagram feeds, Instagram story, dan Instagram reels yang telah diedit menggunakan bantuan software Figma, Canva dan VN Video Editor. Hasil dari proyek akhir ini telah memberikan kenaikan pada jumlah konten yang telah diunggah pada Instagram PT Krakatau Jasa Industri, yaitu sebanyak 197 postingan yang terdiri dari 127 unggahan Instagram feeds, 25 unggahan Instagram reels dan 45 unggahan Instagram story.</p>",ADITYA GIRI FAHREZI,"Aprianti Putri Sujana, Anang Sularsa","Universitas Telkom, D4 Teknologi Rekayasa Multimedia",2023
<h1>Pembangunan Antarmuka Pengklasikasi Kualitas Biji Kopi dengan Machine Learning - Dalam bentuk buku karya ilmiah <br/><small>ZULFANI MAHENDRA</small> </h1>,006.31 - Machine Learning,Karya Ilmiah - Skripsi (S1) - Reference,Machine - Learning,"<p style=""margin-left:57.0pt;"">Proyek akhir ini bertujuan untuk mengembangkan sebuah sistem klasifikasi biji kopi yang mampu membedakan antara lima kelas kematangan dan kualitas biji kopi yaitu matang super bagus, matang bagus matang jelek, mentah bagus dan mentah jelek. Fokus utama proyek ini adalah pada pengembangan antarmuka (<em>interface</em>) yang memfasilitasi pengambilan dataset yang representatif dan berkualitas untuk melatih model klasifikasi.</p>
<p> </p>
<p style=""margin-left:57.0pt;"">Dataset yang dihasilkan dari antarmuka pengambilan dataset ini kemudian digunakan untuk melatih model klasifikasi. Proses ini melibatkan tahap pra-pemrosesan, seperti normalisasi gambar dan pembagian dataset menjadi subset pelatihan, validasi, dan pengujian. Model klasifikasi yang digunakan dapat berupa <em>Convolutional Neural Network </em>(CNN) atau metode lainnya yang sesuai.</p>
<p> </p>
<p style=""margin-left:57.0pt;"">Dalam proyek akhir ini mengedepankan peran penting antarmuka pengambilan dataset dalam menghasilkan dataset yang bervariasi dan berkualitas untuk melatih model klasifikasi biji kopi. Dengan menggabungkan aspek visualisasi, interaktivitas, dan alat bantu pengambilan gambar yang sesuai, proyek ini berhasil mendukung pengembangan model klasifikasi yang akurat dan mampu mengklasifikasikan biji kopi ke dalam kelima kelas yang ditentukan.</p>
<p> </p>
<p> </p>","<p style=""margin-left:57.0pt;""><strong>Kata kunci</strong>: <em>Convolutional Neural Network </em>(CNN), klasifikasi, biji kopi, <em>interface</em></p>",ZULFANI MAHENDRA,"Agus Pratondo, Tafta Zani","Universitas Telkom, D4 Teknologi Rekayasa Multimedia",2023
<h1>PEMBANGUNAN APLIKASI STRATEGIC PLANNING ALLOCATION IN CYBER ENVIRONMENT (SPACE) BERBASIS CODEIGNITER  STUDI KASUS: ALOKASI TIM OPERASIONAL PRODI TRM - Dalam bentuk buku karya ilmiah <br/><small>KELVIN PUTU DENILSEN</small> </h1>,006.7 - Multimedia systems,Karya Ilmiah - Skripsi (S1) - Reference,Interactive Multimedia,"<p><meta charset=""utf-8"" /></p>
<p><meta charset=""utf-8"" /></p>","<p dir=""ltr""><b id=""docs-internal-guid-9c7a6e41-7fff-b64f-3e19-496d64ba6f1e"">Program Studi Teknologi Rekayasa Multimedia (TRM) Telkom University membutuhkan sebuah aplikasi untuk mengetahui beban kerja dosen. Untuk menjawab kebutuhan tersebut, pengembangan aplikasi dengan nama STRATEGIC PLANNING ALLOCATION IN CYBER ENVIRONMENT (SPACE) dilakukan.Dalam pengembangannya, penulis menggunakan metodologi berbasis siklus hidup perangkat lunak yaitu metode waterfall dan menggunakan framework Codeigniter untuk memastikan fungsionalitas dan kegunaan sesuai dengan kebutuhan pengguna, pengujian dilakukan menggunakan metode Black Box dan System Usability Scale (SUS) mendapatkan skor SUS 67,75 dengan rating Good Grade C.</b></p>",KELVIN PUTU DENILSEN,"Rikman Aherliwan Rudawan, Fery Prasetyanto","Universitas Telkom, D4 Teknologi Rekayasa Multimedia",2023
<h1>Pembangunan Perangkat Keras Pengklasifikasi Kualitas Biji Kopi dengan Machine Learning - Dalam bentuk buku karya ilmiah <br/><small>DEKIVARA ZAKA AULIA IGANI</small> </h1>,006.31 - Machine Learning,Karya Ilmiah - Skripsi (S1) - Reference,Machine Learning,"<p style=""margin-left:23pt;"">Proyek akhir ini bertujuan untuk mengembangkan sistem klasifikasi biji kopi berdasarkan tingkat kematangandan kualitas menggunakan metode <em>Convolutional Neural Network </em>(CNN) dengan arsitektur VGG16. Klasifikasi biji kopi menjadi lima kelas, yaitu matang super bagus, matang bagus, matang jelek, mentah bagus dan mentah jelek, bertujuan untuk membantu dalam pemilahan dan pemrosesan biji kopi secara otomatis.</p>
<p> </p>
<p style=""margin-left:23pt;"">Metode CNN dengan arsitektur VGG16 dipilih karena kemampuannya dalam mengekstrak fitur yang kompleks dari citra serta kemampuan generalisasinya yang baik. Dataset berisi gambar-gambar biji kopi dari kelimakelas yang telah dikumpulkan dan diolah sebelumnya. Proses pra-pemrosesan melibatkan normalisasi,augmentasi data, serta pembagian dataset menjadi subset pelatihan, validasi, dan pengujian.</p>
<p> </p>
<p style=""margin-left:23pt;"">Pada tahap pelatihan, model CNN dengan arsitektur VGG16 diinisialisasi dan disesuaikan dengan datasetpelatihan. Proses pelatihan dilakukan dalam beberapa <em>epoch </em>dengan pengoptimalan menggunakan algoritmastokastik gradien turunan (SGD) dan fungsi kerugian <em>categorical cross- entropy</em>. Setelah mencapaikonvergensi, model dievaluasi menggunakan dataset validasi untuk mengoptimalkan parameter sertamencegah <em>overfitting</em>.</p>
<p> </p>
<p style=""margin-left:23pt;"">Hasil eksperimen menunjukkan bahwa model CNN dengan arsitektur VGG16 mampu mengklasifikasikan bijikopi ke dalam lima kelas dengan akurasi yang signifikan. Penggunaan arsitektur VGG16 membantu dalam mengekstrak fitur-fitur penting dari citra biji kopi, sehingga meningkatkan kualitas klasifikasi. Dataset yangdigunakan sebanyak 500 serta akurasi yang didapatkan sebesar 96%.</p>
<p> </p>","<p style=""margin-left:23pt;"">Dengan demikian, proyek akhir ini berhasil mengimplementasikan metode CNN dengan arsitektur VGG16 untuk melakukan klasifikasi biji kopi dalam lima kelas berdasarkan tingkat kematangan dan kualitas. Hasil yangdicapai menunjukkan potensi penggunaan teknologi ini dalam mendukung industri kopi dalam pemrosesan biji kopi secara otomatis dan akurat. Namun, pengembangan lebih lanjut masih diperlukan untuk meningkatkan ketahanan model terhadap variasi kondisi pencahayaan dan sudut pandang yang berbeda.</p>",DEKIVARA ZAKA AULIA IGANI,"Agus Pratondo, Tafta Zani","Universitas Telkom, D4 Teknologi Rekayasa Multimedia",2023
<h1>PENGEMBANGAN VIRTUAL EXPO 360  BERBASIS WEB DENGAN UNITY GAME ENGINE DI PT INDOCEMENT TUNGGAL PRAKARSA - Dalam bentuk buku karya ilmiah <br/><small>TALENTA ALAM</small> </h1>,006.7 - Multimedia systems,Karya Ilmiah - Skripsi (S1) - Reference,Interactive Multimedia,,"<p>Proyek ini membahas pengembangan Virtual Expo berbasis web yang bertujuan untuk memberikan pengalaman pengunjung dalam menjelajahi pameran produk PT. Indocement Tunggal Prakarsa secara digital. Tujuan utama dari proyek ini adalah untuk memudahkan pengunjung dalam mengakses informasi produk serta meningkatkan interaksi melalui fitur-fitur interaktif seperti animasi dan suara. Dalam proyek ini, Unity Game Engine digunakan sebagai platform pengembangan untuk menghasilkan tampilan 3D yang menarik dan mudah diakses. Selain itu, teknologi web juga diintegrasikan agar pengunjung dapat mengakses aplikasi melalui browser tanpa perlu mengunduh software tambahan. untuk memastikan fungsionalitas dan kegunaan sesuai dengan kebutuhan pengguna, pengujian dilakukan menggunakan metode black box dan System Usability Scale (SUS). Hasil pengujian black box menunjukkan fungsionalitas berjalan sesuai dengan harapan namun masih terdapat bug, dan hasil pengujian SUS dari 20 responden mendapatkan score 72 dengan Adjective Rating Good. Hal ini menunjukkan bahwa aplikasi VIRTUAL EXPO 360 Good.</p>",TALENTA ALAM,"Rikman Aherliwan Rudawan, Agus Pratondo","Universitas Telkom, D4 Teknologi Rekayasa Multimedia",2023
<h1>Analisis Pengaruh Variasi Ukuran PEM Pada Microbial Fuel Cell Menggunakan Lumpur Sawah dan Limbah Kulit Pisang Sebagai Substrat - Dalam bentuk buku karya ilmiah <br/><small>RADITYA ABYANSYAH</small> </h1>,531.6 - Energy,Karya Ilmiah - Skripsi (S1) - Reference,Energy,,"<p style=""margin-left:21.3pt;"">Peningkatan jumlah penduduk di Indonesia setiap tahunnya menyebabkan meningkatnya kebutuhan sumber energi untuk digunakan pada kehidupan sehari hari. Indonesia masih berpusat pada penggunaan sumber daya yang tidak ramah lingkungan yang akan berdampak pada kerusakan lingkungan dan habisnya persediaan sumber daya berbahan fosil. Oleh sebab itu dibutuhkan alternatif berupa energi terbarukan yang lebih ramah lingkungan dan berkelanjutan.  <em>Microbial Fuel Cell</em> ( MFC ) merupakan salah satu opsi untuk menghasilkan energi listrik dengan bahan-bahan yang ramah lingkungan. Pada dasarnya prinsip kerja <em>Microbial Fuel Cell</em> ( MFC ) adalah adanya reaksi kimia yang memanfaatkan bakteri lalu diubah menjadi energi listrik menggunakan bahan organik. Faktor – faktor yang mempengaruhi besar energi listrik yang dihasilkan dari sistem ini diantaranya ukuran PEM, komposisi substrat, volume substrat, dan durasi inkubasi pada substrat. <em>Proton Exchange Membrane</em> atau yang biasa disebut PEM adalah tempat pertukaran elektron diantara ruang anoda dan katoda. PEM pada penelitian ini terbuat dari tanah liat yang dibakar pada suhu tinggi. Pada penelitian ini bahan organik yang digunakan adalah lumpur dan limbah kulit pisang. Tujuan penelitian ini adalah untuk membuktikan pengaruh keluaran listrik yang dihasilkan terhadap 3 varian ukuran PEM yang digunakan. Penelitian ini ditujukan untuk mengoptimalkan sistem yang sudah ada, bertujuan untuk membuktikan pengaruh varian ukuran PEM yang akan menghasilkan listrik lebih besar.</p>",RADITYA ABYANSYAH,"Mukhammad Ramdlan Kirom, Nurwulan Fitriyanti","Universitas Telkom, S1 Teknik Fisika",2023
<h1>APLIKASI MEDIA PEMBELAJARAAN MEMBACA DAN MENGENAL MAKANAN SEHAT UNTUK ANAK DISLEKSIA BERBASIS WEB APPS - Dalam bentuk pengganti sidang - Rancangan Karya Akhir <br/><small>RIZKY ARIANTO HUTASOIT</small> </h1>,006.7 - Web Design,Karya Ilmiah - Skripsi (S1) - Reference,"Website, Web Application,","<p>Dalam era globalisasi saat ini, teknologi informasi dan komunikasi berperan penting dalam<br />
pembelajaran. Salah satu cara untuk meningkatkan kualitas pembelajaran adalah dengan<br />
menggunaka Media pembelajaran. E-learning merupakan pembelajaran yang dilakukan melalui<br />
internet. .penerapan Media Learning Web Apps ini dapat diaplikasikan pada anak penederita disleksia <br />
dimana fokus Media Learning Web Apps ini sebagai media pembelajaran berupa bentuk visual dimana <br />
anak penderita disleksia dapat melihat objek simulasi 3D dari benda atau pengenalan makanan sehat <br />
dalam dunia nyata. Selain objek tersebut dapat diimplementasikan sebuah animasi karena normalnya<br />
orang lebih tertarik pada sebuah objek yang bergerak dinamis dibandingkanstatis, hal ini juga dapat <br />
membantu anak penderita disleksia agar lebih tertarik dalam memperhatikan objek dengan tujuan <br />
untuk mempermudah proses pembelajaran. Hal yang terakhir juga ada pada Media Learning Web <br />
Apps ini diimplementasikan penerapan video agar bentuk simulasi 3D yang disertai animasi lebih<br />
menarik bagi anak penderita disleksia. Dengan permasalahan yang telah disebutkan diatas, proses<br />
pembelajaran dan permainan dapat dikombinasikan menjadi sebuah aplikasi dengan metode Media <br />
Learning Web Apps pada anak disleksia pengenalan makanan sehat.<br />
Pada tugas akhir ini penulis melakukan uji pengukuran kualitas Media Learning Web Apps karena<br />
akurasi kemunculan objek Media Learning Web Apps sangat penting dilakukan untuk menetukan<br />
statibilitas kemunculan objek, penulis juga melakukan uji performasi perangkat lunak melalui black-<br />
box testing dan melakukan pengukuran Quality of service. Selain itu, penulis melakukan user testing<br />
untuk menguji seberapa handal aplikasi dalam penggunaanya.<br />
Kata Kunci: E-learning, Website, Java script</p>
<p> </p>","<p>In the current era of globalization, information and communication technology plays an important role <br />
in learning. One way to improve the quality of learning is to use learning media. E-learning is learning <br />
that is done via the internet. The application of Media Learning Web Apps can be applied to children <br />
with dyslexia where the focus of Media Learning Web Apps is as a learning medium in the form of <br />
visuals where children with dyslexia can see 3D simulation objects of objects or introduction to healthy <br />
food in the real world. In addition to this object being able to implement an animation because <br />
normally people are more interested in an object that moves dynamically than statically, thiscan also <br />
help slexic children to be more interested in paying attention to objects with the aim of facilitating the<br />
learning process. The last thing is also in the Media Learning Web Apps, the application of video is <br />
implemented so that the 3D simulation form accompanied by animation is more attractive for children <br />
with dyslexia. With the problems mentioned above, the learning process and games can be combined <br />
into an application using the Media Learning Web Apps method for dyslexic children to introduce <br />
healthy food.<br />
In this final project, the author tests the quality measurement of Media Learning Web Apps because<br />
the accuracy of the appearance of Media Learning Web Apps objects is very important to determine<br />
the stability of the appearance of objects, the author also tests software performance through black-<br />
box testing and measures Quality of service. In addition, the authors perform user testing to test how<br />
reliable the application is in its use.<br />
Keywords: E-learning, Website, Java script.</p>",RIZKY ARIANTO HUTASOIT,"Bambang Pudjoatmodjo, Ady Purna Kurniawan","Universitas Telkom, D4 Teknologi Rekayasa Multimedia",2023
<h1>Deteksi Aksara Sunda Menggunakan Metode CNN Arsitektur EfficientNet - Dalam bentuk buku karya ilmiah <br/><small>GILANG SUKMA PERMANA</small> </h1>,728.8 - Arsitektur Bangunan Pribadi,Karya Ilmiah - Skripsi (S1) - Reference,Tugas Akhir,"<p>Aksara Sunda merupakan karakter yang dipakai oleh suku Sunda untuk menulis kata-kata dalam bahasa Sunda. Aksara Sunda terdiri dari beberapa jenis karakter, termasuk karakter khusus, rarangk?n, pasangan, aksara ngalagena, dan aksara swara. Di era sekarang, banyak remaja merasa bahwa mempelajari aksara sunda sulit karena bentuknya yang unik dan kompleks. Oleh karena itu, diperlukan pendekatan untuk mengatasi persoalan ini. Salah satu cara yang digunakan untuk mengatasi masalah ini adalah dengan mengenali citra menggunakan metode <em>Convolutional Neural Network</em> (CNN).</p>
<p>            Dalam penelitian Tugas Akhir ini, <em>EfficientNet</em> diajukan sebagai pilihan arsitektur <em>Convolutional Neural Network</em> (CNN). <em>EfficientNet </em>adalah arsitektur CNN yang menskalakan semua dimensi kedalaman, lebar, dan resolusi pada citra secara seragam, menggunakan rangkaian koefisien penskalaan yang sudah ditetapkan. <em>Dataset </em>yang digunakan dalam Tugas Akhir ini bersumber dari buku elektronik berjudul <em>“Direktori Aksara Sunda untuk Unicode”</em> yang disusun oleh Idin Baidillah dkk, dengan jumlah <em>dataset </em>sebanyak 5780 citra dengan format .jpg.</p>
<p>            Citra akan diklasifikasikan menjadi 18 kelas, dimana kelas tersebut merupakan <em>sample</em> dari aksara sunda yang digunakan dalam penelitian. Parameter yang digunakan dalam penelitian ini terdiri dari akurasi, <em>loss</em>, <em>recall</em>, presisi, dan <em>F1score.</em> Hasil pengujian terbaik diperoleh menggunakan <em>optimizer </em>Adam, <em>batch size </em>64, <em>learning rate </em>0.001, dan <em>epoch </em>100 dengan tingkat akurasi 91.8%,<em>loss</em> 0.344, <em>recall</em> 91.5%, presisi 91.8%, dan <em>F1score</em> 91.6%.</p>
<p> </p>","<p>Kata kunci : aksara sunda, citra digital, CNN, <em>EfficientNet</em></p>",GILANG SUKMA PERMANA,"Sofia Saidah, Rita Purnamasari","Universitas Telkom, S1 Teknik Telekomunikasi",2023
<h1>PENGARUH GAYA KEPEMIMPINAN TERHADAP KINERJA KARYAWAN  (Studi Pada Karyawan Bank DKI Syariah Kantor Cabang Bandung) - Dalam bentuk buku karya ilmiah <br/><small>SINATRYA SURYA HUTAMA</small> </h1>,027.5 - Government Libraries,Karya Ilmiah - Skripsi (S1) - Reference,Kepemimpinan,"<p align=""center""><strong>Abstrak</strong></p>
<p>Bank DKI Syariah adalah sebuah unit khusus yang didirikan oleh Bank DKI dengan tujuan mengelola dan menyediakan layanan perbankan berdasarkan prinsip syariah. Sebagai salah satu institusi keuangan yang beroperasi dengan prinsip-prinsip syariah, Bank DKI Syariah telah berkomitmen untuk terus meningkatkan kualitas layanannya kepada masyarakat dengan mematuhi prinsip-prinsip syariah.</p>
<p>Dalam konteks penelitian yang dilakukan, metode yang digunakan adalah kuantitatif deskriptif, dengan mengumpulkan data melalui penyebaran kuesioner kepada karyawan Bank DKI Syariah cabang Bandung. Tujuan penelitian ini adalah untuk mengevaluasi pengaruh gaya kepemimpinan terhadap kinerja karyawan. Hasil penelitian menunjukkan bahwa tidak ada pengaruh signifikan antara gaya kepemimpinan terhadap kinerja karyawan di kantor Bank DKI Syariah cabang Bandung. Secara khusus, gaya kepemimpinan (X) memiliki pengaruh negatif terhadap kinerja karyawan (Y) sebesar 11,5%, yang berarti bahwa semakin menurunnya gaya kepemimpinan, semakin berpengaruh terhadap peningkatan kinerja karyawan.</p>
<p>Dalam konteks manajemen dan pengembangan sumber daya manusia di Bank DKI Syariah, temuan ini mungkin dapat menjadi dasar untuk mempertimbangkan perbaikan atau perubahan dalam gaya kepemimpinan yang diterapkan agar dapat lebih positif memengaruhi kinerja karyawan.</p>
<p> </p>
<p>Kata kunci : gaya kepemipinan, kinerja karyawan, layanan syariah, Bank DKI</p>",<p> </p>,SINATRYA SURYA HUTAMA,Alex Winarno,"Universitas Telkom, S1 Administrasi Bisnis",2023
