text,target
DAFTAR PRAKERJA MELALUI SITUS HTTPS://PRAKERJA.VIP,1
KABAR BAIK!!! SEMANGKUK AIR BAWANG PUTIH YANG BARU DIREBUS DAPAT SEMBUHKAN VIRUS CORONA,2
KUOTA INTERNET 100 GB GRATIS TANPA ISI ULANG KARENA PANDEMI COVID19,1
TKW ASAL MADIUN SETENGAH LUMPUH SETELAH DISUNTIK VAKSIN,2
VOUCHER TAHUN BARU BERHADIAH DARI ALFAMART,1
ALFAMART TAWARKAN VOUCHER RP 800.000 UNTUK SEMUA ORANG,1
"BUKTI KOMNAS HAM SUDAH LENGKAP, 100 JUTA UNTUK TUTUP MULUT KELUARGA LASKAR",1
STATUS BERLOGO WHATSAPP ADALAH PENIPUAN UNTUK ALIHKAN DATA PRIBADI DAN REKENING BANK,1
SUBSIDI KUOTA INTERNET 75GB,1
CAIRAN VAKSIN TIDAK MASUK KE TUBUH JOKOWI,1
BANTUAN SOSIAL FINANSIAL RP. 3.550.000 BAGI YANG KERJA TAHUN 2000 DAN 2021,1
"KORBAN BERGELIMPANGAN, RATUSAN WARGA TERKAPAR USAI DISUNTIK SINOVAC",1
DAFTAR PRAKERJA MELALUI SITUS HTTPS://PRAKERJA.VIP,1
LINK PENDAFTARAN KARTU PRAKERJA GELOMBANG 12,1
VIDEO SEORANG PRIA PINGSAN SESUDAH DISUNTIK VAKSIN,2
BRIGJEN HENDRA KURNIAWAN ADALAH ANAK KANDUNG PRESIDEN CINA XI JINPING,1
KASDIM 0817 GRESIK MAYOR SUGENG RIYADI MENINGGAL AKIBAT SIANGNYA DISUNTIK VAKSIN,1
"WASPADA POTENSI GEMPA AKIBAT SESAR LEMBANG BANDUNG, BMKG TEKANKAN PENTINGNYA MITIGASI",0
"BROADCAST BSSN AKAN REKAM TELEPON DAN PANTAU WA, TWITTER, FACEBOOK",1
CARA CEK CALON PENERIMA VAKSIN COVID19 GRATIS MELALUI WEBSITE PEDULILINDUNGI.ID,0
LINK PENDAFTARAN BANPRES UMKM TAHAP II,1
PULUHAN SANTRI KERACUNAN AKIBAT VAKSIN COVID-19,1
"KOMINFO BANTUAN PULSA 200RB DAN KUOTA 75GB UNTUK DOSEN, GURU, SISWA, MAHASISWA SELAMA MASA PANDEMI",1
LINK PENDAFTARAN KARTU PRAKERJA GELOMBANG 12,1
PESAN BERANTAI BERISI INFORMASI PENDAFTARAN VAKSINASI COVID-19 UNTUK LANSIA,2
JOKOWI BUKA PINTU IZIN INVESTASI UNTUK INDUSTRI MIRAS BESAR SAMPAI ECERAN,0
BIAYA TILANG TERBARU DI INDONESIA : KAPOLRI BARU MANTAP,1
"KEMENDIKBUD BANTUAN PULSA 200RB DAN KUOTA 75GB UNTUK DOSEN, GURU, SISWA, MAHASISWA SELAMA MASA PANDEMI",1
"INDUSTRI ARAK HINGGA TUAK DISAHKAN, GUBERNUR BALI TERIMA KASIH KEPADA PRESIDEN JOKOWI",0
ITALY TELAH MELAKUKAN PROSES BEDAH MAYAT TERHADAP PASIEN CORONA YANG TELAH MENINGGAL,1
SMS PEMBERITAHUAN PENERIMA DANA BANTUAN DARI KANTOR BPJS PUSAT,1
UANG REDENOMINASI PECAHAN RP 100 BERGAMBAR JOKOWI,1
AL-QURAN PALSU KEMBALI BEREDAR,1
ARAB SAUDI TOLAK JEMAAH HAJI INDONESIA KARENA BELUM BAYAR AKOMODASI,1
BANTUAN SOSIAL FINANSIAL RP. 3.550.000 BAGI YANG KERJA TAHUN 2000 DAN 2021,1
"BENDUNGAN WALAHAR AIRNYA MELUAP, YANG DI KARAWANG SIAP-SIAP",1
"JOKOWI LEGALKAN MIRAS HINGGA KELAS ECERAN, KETUM MUHAMMADIYAH: BANGSA KITA SUDAH KEHILANGAN ARAH",0
TUJUH PENUMPANG LION AIR RUTE TIONGKOK - MANADO TERINFEKSI VIRUS CORONA,0
BPJS KESEHATAN SALURKAN BANSOS FINANSIAL BAGI YANG BEKERJA ANTARA TAHUN 2000 DAN 2021,1
SUBSIDI PULSA 200 RIBU DAN KUOTA 50 GB KEMENDIKBUD DIPERPANJANG LAGI,1
JOKOWI BUKA PINTU IZIN INVESTASI UNTUK INDUSTRI MIRAS BESAR SAMPAI ECERAN,0
SANKSI MUDIK,1
GURU DI SUKABUMI JADI SASARAN KEMARAHAN PERANGKAT DESA GEGARA POSTING JALAN RUSAK,0
"KEMENDIKBUD BANTUAN PULSA 200RB DAN KUOTA 75GB UNTUK DOSEN, GURU, SISWA, MAHASISWA SELAMA MASA PANDEMI",1
TILANG ELEKTRONIK BERLAKU MULAI MARET 2021,0
VAKSINASI COVID-19 UNTUK LANSIA (USIA DIATAS 60) BISA TANPA ONLINE LANGSUNG DATANG KE LOKASI,1
GURU HONORER DI LELES GARUT JADI LUMPUH SETELAH MENDAPAT VAKSIN KEDUA,2
IMBAUAN DISDUKCAPIL BANDUNG TENTANG KASUS PENYALAHGUNAAN KTP,1
KFC SEDIAKAN HADIAH BUCKET AYAM DI PERINGATAN HARI PEREMPUAN INTERNASIONAL 2021,1
"MUAL HINGGA BENGKAK, WARTAWAN JAWA POS TV DILARIKAN KE IGD PASCA DIVAKSIN SINOVAC",0
FOTO BOTOL MIRAS DENGAN LABEL HALAL,1
"DIRUT VIVA COSMETIC SURABAYA, PAK SUSANTO MENINGGAL 3 HARI KEMUDIAN DI RS RKZ KARENA COVID SETELAH VAKSIN PERTAMA",1
JUAL MINUMAN KERAS HUKUMNYA BOLEH UNTUK MEMBANTU KAS NEGARA,1
SUBSIDI PULSA 200 RIBU DAN KUOTA 95 GB KEMENDIKBUD RI,1
RILIS NAMA-NAMA DOKTER YANG WAFAT DI HARI YANG SAMA KARENA COVID19,2
VIDEO CACING DI MASKER IMPOR ASAL CHINA,1
BANTUAN SOSIAL FINANSIAL BRI RP. 5.500.000,1
POSTINGAN STATUS AKUN YANG DIHACK,0
BANTUAN SOSIAL FINANSIAL BJB RP. 5.500.000,1
CARA MENDAPATKAN SUBSIDI LISTRIK PLN DENGAN KLIK TAUTAN INI,1
GURU SUKABUMI LUMPUH USAI VAKSIN COVID-19 DOSIS 2,0
LINK ULTAH INDOMIE KE-60 BERHADIAH 1000 SMARTWATCH,1
LINK ULTAH TELKOMSEL KE-60 BERHADIAH 1000 SMARTWATCH,1
ANGGOTA BRIMOB MALUKU MENINGGAL DUNIA SETELAH DIVAKSIN ASTRAZENECA,1
CINA TELAH MENYEBAR PENYAKIT LEWAT MASKER BARU YANG MASUK KE INDONESIA,1
FOTO KARTINI MEMAKAI HIJAB,1
LINK ULTAH INDOFOOD KE-50 BERHADIAH 1000 SMARTWATCH,1
RATUSAN WN INDIA MASUK INDONESIA KE INDONESIA DI SAAT COVID-19 MEROKET DI INDIA,0
"PULUHAN WARGA CHINA TIBA DI BANDARA SOETTA SELASA (4/5) SORE, LANGSUNG DIJEMPUT BUS",0
LINK SUBSIDI PULSA 200 RIBU DAN KUOTA 125 GB KEMENDIKBUD,1
RUSIA TIDAK MENEMUKAN VIRUS DARI HASIL OTOPSI JENAZAH COVID-19,1
YANG SUDAH DIVAKSIN SIAP-SIAP MATI DINI DALAM JANGKA WAKTU 2 TAHUN,1
GURU SUKABUMI LUMPUH USAI VAKSIN COVID-19 DOSIS 2,0
"PENYEKATAN MUDIK DI PERBATASAN BEKASI-BOGOR, TAK TANGGUNG- TANGGUNG TNI NURUNIN TANK BAJA",1
BENDA BERMAGNET BISA MENEMPEL DI LENGAN PENERIMA VAKSIN CORONA,1
TULISAN ILMIAH IDI : COVID-19 ADALAH PENGELABUAN DAN PEMBODOHAN GLOBAL,1
"CAMPURAN KELAPA MUDA, JERUK NIPIS, GARAM DAN MADU LENYAPKAN VIRUS CORONA",1
GALANG DANA UNTUK PALESTINA,0
LINK ULTAH COFFESHOP JANJI JIWA KE-30 BERHADIAH 1000 SMARTWATCH,1
PDIP USUL KE PEMERINTAH AGAR SELURUH PESANTREN DI INDONESIA DITUTUP,1
PENGGUNAAN MASKER SEBABKAN MANUSIA KERACUNAN CO2,1
"VIDEO MOBIL IRINGAN-IRINGAN JOKOWI MUDIK, RI 1 PULANG KAMPUNG",1
7 BUMN BAKAL DIBUBARKAN. PLN DLM TAHAP RESTRUKTURISASI,1
LINK BANTUAN UMKM BRI TAHAP 3 SEBESAR RP 2.100.000,1
"CAMPURAN KELAPA MUDA, JERUK NIPIS, GARAM DAN MADU LENYAPKAN VIRUS CORONA",1
RUSIA TIDAK MENEMUKAN VIRUS DARI HASIL OTOPSI JENAZAH COVID-19,1
RSHS DAN BEBERAPA RUMAH SAKIT DI BANDUNG DIPENUHI PASIEN COVID-19 DAN BANYAK YANG MENINGGAL DI UGD,1
"700 LEBIH JENAZAH DIMAKAMAKAN SECARA COVID-19, TERNYATA HASIL SWAB NEGATIF",0
DR. SITI FADILAH (MANTAN MENKES) DAN NIDOM : GAGALKAH HERD IMUNITY ?,0
LINK SUBSIDI PULSA 200 RIBU DAN KUOTA 125 GB KEMENDIKBUD,1
SURAT EDARAN DIRJEN PELAYANAN KESEHATAN TENTANG PEMANFAATAN OBAT TRADISIONAL UNTUK PEMELIHARAAN KESEHATAN,0
INFO VAKSINASI COVID-19 DI PUSSENIF PPI SUPRATMAN BANDUNG,1
SURAT KLARIFIKASI KUOTA HAJI INDONESIA DARI KEDUTAAN ARAB SAUDI,0
VIDEO PASIEN COVID KEHABISAN RUANGAN DI RS BEKASI DAN TERLANTAR DI PARKIRAN,0
AKUN WHATSAPP MENCATUT FOTO DAN NAMA ABDY YUHANA ANGGOTA DPRD JAWA BARAT,1
ARTIKEL MENGATASNAMAKAN BRIGJEN TNI (PURN) DR. MARDJO SUBIANDONO AJAK WARGA BANGUN OPTIMISME HADAPI COVID 19,1
JADWAL PELAKSANAAN VAKISNASI COVID19 DI KOTA BANDUNG,0
PELAKSANAAN VAKSINASI DI GRAND BALLROOM SUDIRMAN BANDUNG BANYAK YANG TERPAPAR COVID-19,2
LINK BANTUAN SOSIAL TUNAI PPKM DARURAT,1
PENUTUPAN SPBU SEMENTARA 12 JULI 2021-17 JULI 2021,1
VIDEO ALAT UJI SWAB ANTIGEN DI TETES AIR KERAN HASILNYA POSITIF COVID,1
MANTAN MENKES SITI FADILAH SUDAH SERING KENA COVID-19 SEJAK DULU,1
VIDEO BERITA DARI CNN INDONESIA POTENSI BAHAYA VAKSIN COVID - 19,0
VIDEO JOKOWI DITENGAH KERUMUNAN WARGA TIONGKOK TANPA MEMAKAI MASKER,1
WARGA YANG MEMILIKI KARTU VAKSIN COVID-19 AKAN TERIMA BANTUAN KOMPENSASI PPKM SEBESAR 1 JUTA,1
BANTUAN BEASISWA ANAK PEDAGANG KECIL TERDAMPAK PPKM DARURAT,0
CHINA MINTA PULAU KALIMANTAN SEBAGAI JAMINAN UTANG INDONESIA,2
CORONA VIRUS TERTULIS DI BUKU PELAJARAN IPA TAHUN 2017,0
"JIKA SEDANG FLU, JANGAN LAKUKAN SWAB TEST NANTI POSITIF COVID-19",2
LINK SUBSIDI PULSA 250 RIBU DAN KUOTA 75 GB KEMENDIKBUD,1
TANGGAL BERAKHIRNYA PROYEK KOPIT,1
TOLONG SEBARKAN BUAT BANTU PEDAGANG KECIL,0
YANG SUDAH DIVAKSIN SIAP-SIAP MATI DINI DALAM JANGKA WAKTU 2 TAHUN,1
SURAT EDARAN DEWAN MASJID INDONESIA TENTANG SHOLAT JUM'AT DUA GELOMBANG GANJIL GENAP,0
"PERINGATI HUT RI KE-76, KOMINFO BERIKAN KUOTA INTERNET GRATIS 150GB",1
LINK BANTUAN SEBESAR RP 500.000 DARI KEMENTRIAN SOSIAL RI,1
"CEGAH KEBOCORAN DATA, 2.453 PRODUK DAN JASA CETAK KARTU VAKSIN DIBLOKIR",0
INFORMASI RAZIA ZEBRA SERENTAK DI KOTA BANDUNG TANGGAL 31 AGUSTUS 2021,1
LINK SURVEY UNDIAN BERHADIAH DALAM RANGKA ULTAH HONDA KE-70,1
LOWONGAN KERJA MENJADI CREW RUNNER PON PAPUA 2021,1
PEMBERITAHUAN PENIPUAN PESAN SINGKAT BERISI FORMAT ISIAN KELUHAN DARI MASYARAKAT SETELAH DIVAKSIN,0
PENCETAKAN KARTU VAKSIN MEMUNGKINKAN MELANGGAR HAK KONSUMEN,0
PERUBAHAN HARI LIBUR NASIONAL DAN CUTI BERSAMA TAHUN 2021,0
BANTUAN KUOTA DATA INTERNET KEMENDIKBUD TAHUN 2021 SUBSIDI PULSA 200 RIBU DAN KUOTA 50 GB,1
LINK SUBSIDI PULSA 200 RIBU DAN KUOTA 125 GB KEMENDIKBUD,1
PEMBERITAHUAN BANTUAN KESEHATAN DAN MODAL USAHA DARI BPJS,1
RI IMPOR CABE 27 RIBU TON CABE,0
SUBSIDI PULSA 200 RIBU DAN KUOTA 50 GB KEMENDIKBUD DIPERPANJANG LAGI,1
"RAYAKAN ULTAHNYA KE-120, BRI BAGIKAN HADIAH 2 JUTA RUPIAH LEWAT KUISIONER ONLINE",1
LAYANAN INTERNET MATI TOTAL PADA 24 HINGGA 30 SEPTEMBER 2021,1
LINK DANA BANTUAN 150 JUTA BPJS KESEHATAN,1
LINK HADIAH RESMI 175 JUTA DARI WHATSAPP 2021,1
PENDAFTARAN VAKSIN NUSANTARA,1
RUMOR DOKTER PALSU SEBARKAN VIRUS AIDS DENGAN BERPURA-PURA MENGUKUR GULA DARAH SECARA GRATIS,1
FOTO PERBAIKAN KABEL INTERNET BAWAH LAUT INDIEHOME,0
RILIS TERBARU WHO : RENTANG USIA PEMUDA ADALAH 18-65 TAHUN,1
SEJUMLAH NOMOR TELEPON LUAR NEGERI INI BISA SALIN DAFTAR KONTAK,1
SITUS PALSU MENGATASNAMAKAN PEDULILINDUNGI,1
SMS PEMBERITAHUAN PEMENANG UNDIAN KE-2 DARI PT SHOPEE SEBESAR RP 185 JUTA,1
19 AGUSTUS 2021 MASKAPAI BATIK AIR JEMPUT WNI YANG ADA DI AFGHANISTAN,1
"9 BULAN JADI MENAG, KEKAYAAN YAQUT MELESAT 1.000%",1
ADA VIDEO MENAG YAQUT CHOLIL QOUMAS DIBAPTIS PINDAH AGAMA,1
AJAKAN MENGINSTAL APLIKASI TRACETOGETHER UNTUK MENDUKUNG KEPUTUSAN KEMKOMINFO TENTANG UPAYA PENANGANAN COVID-19,1
HADIAH ULANG TAHUN BRI KE 120,1
PARTAI PRIMA BUATAN ANAK-ANAK KOMUNIS,1
DAFTAR KENDARAAN LELANG NONEKSEKUSI DARI KEMENTRIAN KEUANGAN REPUBLIK INDONESIA,1
"GELAR ICF CHAMPIONSHIP 2021, JALAN MENUJU KOTA GARUT PADA 26 OKTOBER 2021 DITUTUP",0
LINK SUBSIDI DARI PERTAMINA VIA SMS RP. 189 JUTA,1
"MISIONARIS MEREBAK, TERMASUK DI SUMBAR",0
PENGUMUMAN : PEMBERHENTIAN SEMENTARA OPERASIONAL BUS KOTA DAMRI BANDUNG,0
PERNYATAAN EKS PETINGGI INTELIJEN SAUDI TENTANG MOHAMMED BIN SALMAN,0
TAWARAN KUOTA GRATIS 50 GB DI PERAYAAN ULANG TAHUN WHATSAPP,1
VAKSINASI MILENIAL JABAR,0
20 RIBU LAPORAN KEBUTAAN USAI VAKSINASI DI EROPA,1
ADA WALI ALLAH DI SURADE SUKABUMI,2
AIR REBUSAN DAUN SIRI DAPAT SEMBUHKAN KATARAK,1
AJID TEROBOS BANGUNAN SD YANG AMBRUK DEMI SELAMATKAN FOTO JIHYO,1
AKUN INSTGRAM LAPTOP BM STORE,1
VIDEO : 500 TON PISANG DARI SOMALIA TERKONTAMINASI CACING HELICOBACTER,1
"DARI DITLANTAS POLDA, BESOK ADA RAZIA MASKER SERENTAK DISELURUH WILAYAH INDONESIA",1
UANG BARU PECAHAN 1.0 BERNILAI 1 JUTA RUPIAH,1
"WASPADA PENCULIKAN ANAK DENGAN MODUS PENJUAL, OM TELOLET, ORANG GILA, IBU HAMIL, PENGEMIS",1
ACHA SEPTRIASA MENINGGAL DUNIA,1
ADE ARMANDO : DALAM AL-QURAN TAK ADA PERINTAH SHOLAT 5 WAKTU,0
ADE ARMANDO : SAYA BERAGAMA ISLAM TAPI TIDAK PERCAYA SYARIAT ISLAM HARUS DIJALANKAN,0
AKUN WHATSAPP MENGATASNAMAKAN BUPATI INDRAMAYU,1
AKUN WHATSAPP MENGATASNAMAKAN KAPOLDA JAWA BARAT AHMAD DOFIRI,1
AKUN WHATSAPP MENGATASNAMAKAN WAKIL KETUA DPRD KOTA CIREBON,1
ALIANSI DOKTER DUNIA SEBUT VARIAN DELTA TIDAK PERNAH ADA,1
ANGGOTA DPR : PERMENDIKBUD 30 LEGALKAN SEKS BEBAS DAN LGBT ASAL KORBAN SETUJU,1
BAHAN BURGER KFC 15% AYAM DAN SISANYA BAHAN TIDAK LAYAK KONSUMSI,1
BAHAYA VAKSIN BERISIKO TINGGI,1
BANK INDONESIA TAWARKAN INVESTASI ONLINE LEWAT TELEGRAM,1
LOWONGAN KERJA DISKOMINFO JABAR,0
HADIAH ULANG TAHUN BRI KE - 130 UANG TUNAI SEBESAR 2 JUTA RUPIAH,1
REKRUTMEN DISKOMINFO JABAR MEMINTA BIAYA,1
SMS PEMBERITAHUAN PEMENANG UNDIAN KE-2 DARI PT SHOPEE SEBESAR RP 185 JUTA,1
HARI JADI JNE YANG KE-31 MELALUI KUISIONER ANDA AKAN MENDAPATKAN UANG TUNAI 2 JUTA RUPIAH,1
SERUAN ISI PENUH TANGKI BBM KARENA KARYAWAN PERTAMINA MOGOK KERJA,1
ULTAH KE-50 KIMIA FARMA BAGIKAN UANG 2 JUTA RUPIAH,1
WASPADA MENGAKU MAHASISWA MEMINTA FOTO KTP UNTUK PINJOL,1
"1,4 JUTA WARGA CHINA IKUT TES PNS 2021",1
AKUN PT PETROKIMIA GRESIK,1
AKUN WHATSAPP MENGATASNAMAKAN KAPOLDA JAWA BARAT AHMAD DOFIRI,1
BEJAT! GURU NGAJI DI DEPOK CABULI 10 ANAK MURIDNYA,0
BENARKAH JANTUNG MANUSIA BERHENTI BERDETAK SAAT BERSIN?,1
BENARKAH KONSUMSI SAYUR PAKIS MENGAKIBATKAN KANKER LAMBUNG,1
"DUBAI BERDUKA, TABRAKAN TRUK TANGKI DAN MENYEBABKAN KEBAKARAN BESAR DI JALAN TOL DUBAI",1
CAIRAN VAKSIN TIDAK MASUK KE TUBUH JOKOWI,1
"KORBAN BERGELIMPANGAN, RATUSAN WARGA TERKAPAR USAI DISUNTIK SINOVAC",1
VIDEO SEORANG PRIA PINGSAN SESUDAH DISUNTIK VAKSIN,2
YANG SUDAH DIVAKSIN SIAP-SIAP MATI DINI DALAM JANGKA WAKTU 2 TAHUN,1
KASDIM 0817 GRESIK MAYOR SUGENG RIYADI MENINGGAL AKIBAT SIANGNYA DISUNTIK VAKSIN,1
PULUHAN SANTRI KERACUNAN AKIBAT VAKSIN COVID-19,1
VAKSINASI COVID-19 UNTUK LANSIA (USIA DIATAS 60) BISA TANPA ONLINE LANGSUNG DATANG KE LOKASI,1
BENDA BERMAGNET BISA MENEMPEL DI LENGAN PENERIMA VAKSIN CORONA,1
GURU HONORER DI LELES GARUT JADI LUMPUH SETELAH MENDAPAT VAKSIN KEDUA,2
INFO VAKSINASI COVID-19 DI PUSSENIF PPI SUPRATMAN BANDUNG,1
VAKSIN COVID 19 ADA CHIP DIDALAMNYA,1
VAKSIN SINOVAC SENJATA BIOLOGIS TIONGKOK DIUJICOBAKAN KHUSUS 170 JUTA MUSLIM INDONESIA,2
ANGGOTA BRIMOB MALUKU MENINGGAL DUNIA SETELAH DIVAKSIN ASTRAZENECA,1
ITALY TELAH MELAKUKAN PROSES BEDAH MAYAT TERHADAP PASIEN CORONA YANG TELAH MENINGGAL,1
PELAKSANAAN VAKSINASI DI GRAND BALLROOM SUDIRMAN BANDUNG BANYAK YANG TERPAPAR COVID-19,2
